,product_id,product_category_name,month_year,qty,total_price,freight_price,unit_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,volume,comp_1,freight_price_comp1,comp_2,freight_price_comp2,comp_3,freight_price_comp3,lag_price
0,bed1,bed_bath_table,01-05-2017,1,45.95,15.1,45.95,39,161,2,350,4.0,57,23,8,1,5,2017,3800,89.9,15.01189655,215.0,8.76,45.95,15.1,45.9
1,bed1,bed_bath_table,01-06-2017,3,137.85,12.93333333,45.95,39,161,2,350,4.0,61,22,8,1,6,2017,3800,89.9,14.76921569,209.0,21.322,45.95,12.93333333,45.95
2,bed1,bed_bath_table,01-07-2017,6,275.7,14.84,45.95,39,161,2,350,4.0,123,21,10,1,7,2017,3800,89.9,13.99383333,205.0,22.1959322,45.95,14.84,45.95
3,bed1,bed_bath_table,01-08-2017,4,183.8,14.2875,45.95,39,161,2,350,4.0,90,23,8,1,8,2017,3800,89.9,14.65675676,199.5098039,19.41288462,45.95,14.2875,45.95
4,bed1,bed_bath_table,01-09-2017,2,91.9,15.1,45.95,39,161,2,350,4.0,54,21,9,1,9,2017,3800,89.9,18.77652174,163.3987097,24.3246875,45.95,15.1,45.95
5,bed1,bed_bath_table,01-10-2017,3,137.85,15.1,45.95,39,161,2,350,4.0,50,22,9,2,10,2017,3800,89.9,21.57214286,45.95,15.1,45.95,15.1,45.95
6,bed1,bed_bath_table,01-11-2017,11,445.85,15.83272727,40.53181818,39,161,2,350,4.0,97,22,8,4,11,2017,3800,89.9,16.294,40.53181818,15.83272727,40.53181818,15.83272727,45.95
7,bed1,bed_bath_table,01-12-2017,6,239.94,15.23,39.99,39,161,2,350,4.0,41,21,10,1,12,2017,3800,88.48823529,18.89833333,39.99,15.23,39.99,15.23,40.53181818
8,bed1,bed_bath_table,01-01-2018,19,759.81,16.53368421,39.99,39,161,2,350,4.0,62,23,8,2,1,2018,3800,86.9,19.38352941,39.99,16.53368421,39.99,16.53368421,39.99
9,bed1,bed_bath_table,01-02-2018,18,719.82,13.74944444,39.99,39,161,2,350,4.0,62,20,8,2,2,2018,3800,86.9,19.20909091,39.99,13.74944444,39.99,13.74944444,39.99
10,bed1,bed_bath_table,01-03-2018,17,679.83,16.46235294,39.99,39,161,2,350,4.0,43,22,9,1,3,2018,3800,86.9,19.98235294,39.99,16.46235294,39.99,16.46235294,39.99
11,bed1,bed_bath_table,01-04-2018,13,519.87,14.23615385,39.99,39,161,2,350,4.0,34,21,9,1,4,2018,3800,85.045,12.94,39.99,14.23615385,39.99,14.23615385,39.99
12,bed1,bed_bath_table,01-05-2018,19,759.81,10.25631579,39.99,39,161,2,350,4.0,57,23,8,3,5,2018,3800,83.64961538,16.78038462,39.99,10.25631579,39.99,10.25631579,39.99
13,bed1,bed_bath_table,01-06-2018,5,199.95,13.998,39.99,39,161,2,350,4.0,43,21,9,0,6,2018,3800,79.9,23.00565217,39.99,13.998,39.99,13.998,39.99
